,Description,Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Car Space,Bedrooms,Bathrooms,Longitude,Latitude,Condominum Name,Price(Php),Link,NAME_2,Building_num,Land_num,Area_M2
374,"New Listing, inquire for details. 9 in Caloocan",Caloocan,House and Lot,Bungalow,198,154,,,,120.9883002,14.61771437,,19339055.73,,Caloocan,,625,154
375,"New Listing, inquire for details. 10 in Caloocan",Caloocan,Commercial,Retail,102,101,,,,121.0413471,14.60889195,,12683406.68,,Caloocan,,625,101
376,"New Listing, inquire for details. 11 in Caloocan",Caloocan,Condominium,Penthouse,26,188,,,,120.9886315,14.57868547,,23608717.38,,Caloocan,,625,188
377,"New Listing, inquire for details. 12 in Caloocan",Caloocan,House and Lot,Two-storey,12,151,,,,120.9661518,14.60630953,,18962320.88,,Caloocan,,625,151
378,"New Listing, inquire for details. 13 in Caloocan",Caloocan,Commercial,Retail,108,165,,,,120.9774464,14.62466277,,20720416.85,,Caloocan,,625,165
379,"New Listing, inquire for details. 14 in Caloocan",Caloocan,Townhouse,End,22,163,,,,120.9811531,14.57187303,,20469260.28,,Caloocan,,625,163
380,"New Listing, inquire for details. 15 in Caloocan",Caloocan,Condominium,Penthouse,109,147,,,,121.0451799,14.60790118,,18460007.74,,Caloocan,,625,147
381,"New Listing, inquire for details. 16 in Caloocan",Caloocan,Condominium,2BR,44,157,,,,121.013317,14.60113875,,19715790.58,,Caloocan,,625,157
382,"New Listing, inquire for details. 17 in Caloocan",Caloocan,Townhouse,End,136,185,,,,120.9755881,14.55334917,,23231982.53,,Caloocan,,625,185
383,"New Listing, inquire for details. 18 in Caloocan",Caloocan,Commercial,Retail,151,165,,,,121.0401842,14.62204161,,20720416.85,,Caloocan,,625,165
384,"New Listing, inquire for details. 19 in Caloocan",Caloocan,Condominium,1BR,113,120,,,,121.0487551,14.60384025,,15069394.07,,Caloocan,,625,120
385,"New Listing, inquire for details. 20 in Caloocan",Caloocan,Townhouse,Inner,171,135,,,,120.9617715,14.6006961,,16953068.33,,Caloocan,,625,135
386,"New Listing, inquire for details. 21 in Caloocan",Caloocan,Condominium,Studio,107,173,,,,121.0018404,14.56317624,,21725043.12,,Caloocan,,625,173
387,"New Listing, inquire for details. 22 in Caloocan",Caloocan,House and Lot,Bungalow,35,163,,,,121.002336,14.55231852,,20469260.28,,Caloocan,,625,163
388,"New Listing, inquire for details. 23 in Caloocan",Caloocan,Commercial,Office,11,151,,,,121.0135813,14.56552758,,18962320.88,,Caloocan,,625,151
389,Sample Property in Las Piñas #1,Las Piñas,Commercial,Retail,135,60,1,2,1,121.0239589,14.57496339,,7534697.037,,Las Piñas,60,100,199
390,Sample Property in Las Piñas #2,Las Piñas,Condominium,2BR,172,60,1,2,1,121.0232233,14.58948443,,7534697.037,,Las Piñas,60,100,123
391,Sample Property in Las Piñas #3,Las Piñas,Townhouse,Inner,0,60,1,2,1,121.0323667,14.60096604,,7534697.037,,Las Piñas,60,100,150
392,Sample Property in Las Piñas #4,Las Piñas,Commercial,Retail,15,60,1,2,1,120.9852916,14.57845513,,7534697.037,,Las Piñas,60,100,158
393,"New Listing, inquire for details. 1 in Las Piñas",Las Piñas,Townhouse,End,132,158,1,2,1,121.0379419,14.60458983,,19841368.86,,Las Piñas,60,100,158
394,"New Listing, inquire for details. 2 in Las Piñas",Las Piñas,Condominium,Studio,164,134,1,2,1,120.9793679,14.57730309,,16827490.05,,Las Piñas,60,100,134
395,"New Listing, inquire for details. 3 in Las Piñas",Las Piñas,Townhouse,End,27,137,1,2,1,121.0366812,14.62740773,,17204224.9,,Las Piñas,60,100,137
396,"New Listing, inquire for details. 4 in Las Piñas",Las Piñas,Commercial,Office,42,124,1,2,1,120.9504747,14.62406365,,15571707.21,,Las Piñas,60,100,124
397,"New Listing, inquire for details. 5 in Las Piñas",Las Piñas,Townhouse,End,179,179,1,2,1,121.0192176,14.6176083,,22478512.83,,Las Piñas,60,100,179
398,"New Listing, inquire for details. 6 in Las Piñas",Las Piñas,Condominium,2BR,84,188,1,2,1,120.9909085,14.58718011,,23608717.38,,Las Piñas,60,100,188
399,"New Listing, inquire for details. 7 in Las Piñas",Las Piñas,Condominium,2BR,67,182,1,2,1,120.9586424,14.57891087,,22855247.68,,Las Piñas,60,100,182
400,"New Listing, inquire for details. 8 in Las Piñas",Las Piñas,House and Lot,Two-storey,123,167,1,2,1,121.0378438,14.55731583,,20971573.42,,Las Piñas,60,100,167
401,"New Listing, inquire for details. 9 in Las Piñas",Las Piñas,Commercial,Retail,140,124,1,2,1,120.9691988,14.55526,,15571707.21,,Las Piñas,60,100,124
402,"New Listing, inquire for details. 10 in Las Piñas",Las Piñas,Commercial,Retail,42,183,1,2,1,121.0337451,14.55891607,,22980825.96,,Las Piñas,60,100,183
403,"New Listing, inquire for details. 11 in Las Piñas",Las Piñas,Commercial,Office,196,191,1,2,1,121.0204373,14.56033936,,23985452.23,,Las Piñas,60,100,191
404,"New Listing, inquire for details. 12 in Las Piñas",Las Piñas,Condominium,Penthouse,30,156,1,2,1,120.968481,14.60912075,,19590212.3,,Las Piñas,60,100,156
405,"New Listing, inquire for details. 13 in Las Piñas",Las Piñas,Townhouse,End,198,109,1,2,1,120.9550092,14.56926158,,13688032.95,,Las Piñas,60,100,109
406,"New Listing, inquire for details. 14 in Las Piñas",Las Piñas,Townhouse,Inner,182,100,1,2,1,120.9776109,14.61376035,,12557828.39,,Las Piñas,60,100,100
407,"New Listing, inquire for details. 15 in Las Piñas",Las Piñas,Commercial,Office,145,129,1,2,1,121.0461388,14.57389918,,16199598.63,,Las Piñas,60,100,129
408,"New Listing, inquire for details. 16 in Las Piñas",Las Piñas,House and Lot,Bungalow,6,141,1,2,1,121.0446101,14.6113024,,17706538.04,,Las Piñas,60,100,141
409,"New Listing, inquire for details. 17 in Las Piñas",Las Piñas,House and Lot,Two-storey,195,109,1,2,1,121.0592127,14.59742656,,13688032.95,,Las Piñas,60,100,109
410,"New Listing, inquire for details. 18 in Las Piñas",Las Piñas,Condominium,Studio,40,200,1,2,1,121.0014204,14.61131585,,25115656.79,,Las Piñas,60,100,200
411,"New Listing, inquire for details. 19 in Las Piñas",Las Piñas,Townhouse,End,178,114,1,2,1,121.0035348,14.5739241,,14315924.37,,Las Piñas,60,100,114
412,"New Listing, inquire for details. 20 in Las Piñas",Las Piñas,Townhouse,End,177,165,1,2,1,121.0510504,14.59059166,,20720416.85,,Las Piñas,60,100,165
413,"New Listing, inquire for details. 21 in Las Piñas",Las Piñas,Commercial,Office,92,192,1,2,1,120.9776065,14.60745364,,24111030.52,,Las Piñas,60,100,192
414,"New Listing, inquire for details. 22 in Las Piñas",Las Piñas,Commercial,Retail,6,167,1,2,1,120.971106,14.61749575,,20971573.42,,Las Piñas,60,100,167
415,"New Listing, inquire for details. 23 in Las Piñas",Las Piñas,Townhouse,Inner,114,139,1,2,1,120.9607119,14.5866674,,17455381.47,,Las Piñas,60,100,139
416,"New Listing, inquire for details. 24 in Las Piñas",Las Piñas,Commercial,Office,21,170,1,2,1,120.9782731,14.60598028,,21348308.27,,Las Piñas,60,100,170
417,"New Listing, inquire for details. 25 in Las Piñas",Las Piñas,House and Lot,Bungalow,43,167,1,2,1,121.0207873,14.62819759,,20971573.42,,Las Piñas,60,100,167
418,"New Listing, inquire for details. 26 in Las Piñas",Las Piñas,Condominium,Penthouse,100,164,1,2,1,120.9873598,14.55010544,,20594838.57,,Las Piñas,60,100,164
419,"Interior Decorated 3 Bedroom Unit for Sale in The Peak Tower, Makati City","Salcedo Village, Makati",Commercial,Office,116,162,,3,3,121.0043308,14.58712417,The Peak,20343682,https://www.lamudi.com.ph/interior-decorated-3-bedroom-unit-for-sale-in-the-16612243031.html,Makati,162,,162
420,"BJS - FOR SALE: 512 sqm Residential Lot in Bel-Air 2 Village, Makati","Bel-Air, Makati",House and Lot,Two-storey,126,,,,,120.9507681,14.59045128,,,https://www.lamudi.com.ph/bjs-for-sale-512-sqm-residential-lot-in-bel-air-2-166080559925.html,Makati,,512,189
421,"RSO - FOR SALE: Condominium in One Rockwell West, Rockwell, Makati","Rockwell, Makati",Commercial,Office,53,93,1,2,2,121.001893,14.58071009,One Rockwell,11678780.41,https://www.lamudi.com.ph/rso-for-sale-condominium-in-one-rockwell-west-rock-166080271146.html,Makati,93,,93
422,For Sale High-end 35 sqm Studio Unit with Parking in Makati - Century Spire,"Poblacion, Makati",Commercial,Retail,151,35.29,1,1,1,120.9609695,14.5884238,Century Spire by Armani Casa,4431657.64,https://www.lamudi.com.ph/high-end-35-sqm-studio-unit-with-parking-in-makati-166031244945.html,Makati,35.29,,170
423,"For Sale Fully Furnished 4 Bedroom Unit at Brio Tower, Makati City","Guadalupe Viejo, Makati",Townhouse,Inner,51,230,4,4,3,120.995012,14.55879764,Brio Tower,28883005.31,https://www.lamudi.com.ph/brio-tower-makati-city-edsa-166020795369.html,Makati,230,,101
424,Circuit Makati - Ready Turnover Bare Office Space,"Carmona, Makati",Townhouse,Inner,161,79,,,,120.9620059,14.62924534,,9920684.432,https://www.lamudi.com.ph/circuit-makati-ready-turnover-bare-office-space-16601264888.html,Makati,79,0,111
425,"ADG - For Sale : 585 sqm Residential Lot in Bel Air 2, Makati City","Bel-Air, Makati",Condominium,Penthouse,86,,,,,121.0377935,14.59238242,,,https://www.lamudi.com.ph/adg-for-sale-585-sqm-residential-lot-in-bel-air-2-166009697736.html,Makati,,585,174
426,2 Bedroom Condo for Sale in Tropical Palms near Greenbelt Makati,"Legazpi Village, Makati",Condominium,1BR,195,141,1,2,3,121.0107245,14.61514859,Tropical Palms,17706538.04,https://www.lamudi.com.ph/2-bedroom-for-sale-in-tropical-palms-near-greenbel-166003581495.html,Makati,141,,141
427,"Commercial Office Building for Sale in Makati City, Makati Ave.","San Lorenzo, Makati",Townhouse,Inner,155,2156.78,,,,120.9925911,14.57775132,,270844731.3,https://www.lamudi.com.ph/commercial-office-building-for-sale-in-makati-city-165995141153.html,Makati,2156.78,264,142
428,"Rush Sale Commercial Building for Sale in Makati City, Makati Ave.","Makati Avenue, Makati",Condominium,1BR,142,2156.78,6,,,121.0038675,14.60750036,,270844731.3,https://www.lamudi.com.ph/rush-sale-commercial-building-for-sale-in-makati-c-165995140836.html,Makati,2156.78,264,141
429,Building for Sale in Makati City,"San Lorenzo, Makati",Commercial,Retail,47,2156,,,,120.9606908,14.55759689,,270746780.2,https://www.lamudi.com.ph/building-for-sale-in-makati-city-165995140785.html,Makati,2156,264,190
430,"Makati Dorm Building for Sale, Pembo Makati, 3-storey with roof deck","Pembo, Makati",Condominium,1BR,26,0,,10,,121.0279475,14.55740539,,0,https://www.lamudi.com.ph/makati-dorm-building-for-sale-pembo-makati-3-store-165994263227.html,Makati,0,,146
431,"Dormitory Commercial Building for Sale in Pembo, Makati City Nr. BGC, SM Aura","Pembo, Makati",Commercial,Retail,138,123,,10,9,120.9611693,14.59243973,,15446128.93,https://www.lamudi.com.ph/dormitory-commercial-building-for-sale-in-pembo-ma-165994140621.html,Makati,123,,123
432,"Rush Sale!!! Negotiable 3 Bedroom Unit in The Salcedo Park Condominium, Makati","Bel-Air, Makati",House and Lot,Two-storey,187,179,2,3,3,121.0319951,14.58482582,The Salcedo Park,22478512.83,https://www.lamudi.com.ph/rush-sale-negotiable-3-bedroom-unit-in-the-salcedo-165992026350.html,Makati,179,,179
433,PROMO 17% DISCOUNT - Century Spire OFFICE 73.800 sqm,"Poblacion, Makati",Commercial,Office,41,73.8,,,,120.9983803,14.58404173,,9267677.355,https://www.lamudi.com.ph/promo-17-discount-century-spire-office-73-800-sqm-165945697493.html,Makati,73.8,0,163
434,"Studio type Condominium Unit For Sale in The Lerato, Makati City","Bel-Air, Makati",House and Lot,Two-storey,85,30,,1,1,121.0303636,14.60017914,The Lerato,3767348.518,https://www.lamudi.com.ph/studio-type-condominium-unit-for-sale-in-makati-ci-165954045417.html,Makati,30,,131
435,"725 sq.m. Commercial/Residential Lot For Sale at Kalayaan Ave., Makati City","Olympia, Makati",Condominium,Studio,4,,,,,121.0306451,14.62012707,,,https://www.lamudi.com.ph/725-sq-m-commercial-lot-for-sale-at-kalayaan-ave-m-165953993478.html,Makati,,725,178
436,Studio Condominium unit @ Eton Tower Makati for Sale,"Legazpi Village, Makati",Townhouse,Inner,72,25.6,,1,1,121.0201736,14.58984003,Eton Tower Makati,3214804.069,https://www.lamudi.com.ph/studio-condominium-unit-eton-tower-makati-for-sale-165941933841.html,Makati,25.6,,165
437,"Fully Furnished 1Bedroom Unit for Sale in Edades Tower, Makati City","Poblacion, Makati",Commercial,Office,32,63,,1,1,120.9641751,14.59093606,Edades Tower,7911431.889,https://www.lamudi.com.ph/fully-furnished-1bedroom-unit-for-sale-in-edades-t-16592478148.html,Makati,63,,152
438,"31.8 sqm Studio Condominium Unit for Sale in Century Spire Suite, Makati","Poblacion, Makati",House and Lot,Two-storey,16,31.8,,1,1,121.0209904,14.57713832,Century Spire,3993389.43,https://www.lamudi.com.ph/31-8-sqm-studio-condominium-unit-for-sale-in-centu-165919169497.html,Makati,31.8,,190
439,Luxurious Space Studio unit for sale in Makati Avenue with 2M Discount,"Poblacion, Makati",Townhouse,End,148,34.23,,1,1,121.0497645,14.55341836,Century Spire,4298544.66,https://www.lamudi.com.ph/luxurious-space-studio-unit-for-sale-in-makati-ave-165918068882.html,Makati,34.23,,194
440,"1,388 sq. meters Prime Corner Lot in Dasmarinas Village, Makati For Sale","Dasmarinas, Makati",Commercial,Office,177,,,,,120.9985122,14.56941445,,,https://www.lamudi.com.ph/1388-sq-meters-prime-corner-lot-in-dasmari-as-vill-165918425016.html,Makati,,1388,194
441,Fortis Residences by DMCI Homes - 3 Bedroom Unit Condo for Sale in Makati City,"Chino Roces, Makati",House and Lot,Bungalow,166,152.5,,3,3,121.0124498,14.61334138,Fortis Residences,19150688.3,https://www.lamudi.com.ph/fortis-residences-by-dmci-homes-3-bedroom-unit-con-16590013467.html,Makati,152.5,,152.5
442,"For Sale 22 sqm Studio Unit in Asten Avida Tower 1, San Antonio Makati City","San Antonio, Makati",Commercial,Office,47,22,,1,1,121.0136312,14.60488032,Avida Towers Asten,2762722.247,https://www.lamudi.com.ph/for-sale-22-sqm-studio-unit-in-asten-avida-tower-1-165898993165.html,Makati,22,,103
443,the columns at legaspi 2 bedroom for sale,"Legazpi Village, Makati",Townhouse,Inner,152,83,1,2,2,121.0162715,14.58928296,The Columns Legazpi Village,10422997.57,https://www.lamudi.com.ph/the-columns-at-legaspi-2-bedroom-for-sale-165897125743.html,Makati,83,,83
444,"3BR D High-Rise Condo Unit for Sale at Fortis Residences in Chino Roces Ave., Makati ...","Bangkal, Makati",Commercial,Retail,171,143.5,,3,3,120.9856681,14.59066171,Fortis Residences,18020483.75,https://www.lamudi.com.ph/3br-d-high-rise-condo-unit-for-sale-at-fortis-resi-165890954692.html,Makati,143.5,,143.5
445,Commercial Property Office Building for Sale in Makati City!,"Palanan, Makati",Townhouse,Inner,113,2296,,,,120.9961996,14.5789678,,288327739.9,https://www.lamudi.com.ph/commercial-property-office-building-for-sale-in-ma-165882169716.html,Makati,2296,384,191
446,Corner Lot 7-Storey Commercial Office Building for Sale in Makati City,"Palanan, Makati",Condominium,2BR,166,2296,,,,121.0546124,14.60452194,,288327739.9,https://www.lamudi.com.ph/corner-lot-7-storey-commercial-office-building-for-165882169533.html,Makati,2296,384,134
447,Makati Office Commercial Building for Sale! Ready to Use! 7-Storey,"Palanan, Makati",Condominium,Studio,33,2296,,,,121.0358714,14.62037164,,288327739.9,https://www.lamudi.com.ph/makati-office-commercial-building-for-sale-ready-t-165882169471.html,Makati,2296,384,104
448,"Corner Office Building for sale in Makati City! Nr. Cash & Carry, Skyway, SLEX","Palanan, Makati",Condominium,2BR,12,2296,,,,120.9746633,14.62216477,,288327739.9,https://www.lamudi.com.ph/corner-office-building-for-sale-in-makati-city-nr-165882169292.html,Makati,2296,384,149
449,Office Commercial Building for Sale in Makati City!,"Palanan, Makati",House and Lot,Bungalow,120,2296,,,,120.9919937,14.5642591,,288327739.9,https://www.lamudi.com.ph/office-commercial-building-for-sale-in-makati-city-165882169141.html,Makati,2296,384,139
450,"Makati Commercial Office Building for Sale! Nr. Skyway, SLEX, Buendia","Palanan, Makati",Townhouse,Inner,45,2296,,,,121.0378189,14.57179357,,288327739.9,https://www.lamudi.com.ph/makati-commercial-office-building-for-sale-nr-skyw-165881969074.html,Makati,2296,384,146
451,Commercial Building for Sale in Makati City! 7-Storey with Elevator,"Palanan, Makati",House and Lot,Bungalow,181,2296,,,,121.0263001,14.62148571,,288327739.9,https://www.lamudi.com.ph/commercial-building-for-sale-in-makati-city-7-stor-165881968836.html,Makati,2296,384,140
452,"Corner Lot Office Commercial Building for Sale in Makati City Nr. Skyway, SLEX","Palanan, Makati",House and Lot,Two-storey,69,2296,,,,120.9967414,14.58061531,,288327739.9,https://www.lamudi.com.ph/corner-lot-office-commercial-building-for-sale-in-165881983514.html,Makati,2296,384,133
453,"7-Storey Commercial Office Building for Sale in Makati City Nr. SLEX, Skyway","Palanan, Makati",House and Lot,Two-storey,26,2296,,,,120.9794884,14.59647071,,288327739.9,https://www.lamudi.com.ph/7-storey-commercial-office-building-for-sale-in-ma-165881968561.html,Makati,2296,384,121
454,Salcedo Park Condominium 4 Bedroom 4BR Condo For Sale in Makati City Nr.SM Jazz,"Salcedo Village, Makati",House and Lot,Two-storey,14,224,2,4,3,120.9835428,14.57373587,SALCEDO PARK CONDOMINIUM,28129535.6,https://www.lamudi.com.ph/salcedo-park-condominium-4-bedroom-4br-condo-for-s-165890500596.html,Makati,224,,125
455,Proscenium at Rockwell Brand New 3 Bedroom Condo for Sale in Makati City,"Rockwell, Makati",Condominium,Penthouse,128,224,,3,3,121.0579344,14.57487678,Proscenium at Rockwell,28129535.6,https://www.lamudi.com.ph/proscenium-at-rockwell-brand-new-3-bedroom-condo-f-165881451790.html,Makati,224,,107
456,Makati Condo for Sale at Proscenium at Rockwell Brand New 3 Bedroom,"Rockwell, Makati",Townhouse,End,104,224,,3,3,120.9807343,14.60889084,Proscenium at Rockwell,28129535.6,https://www.lamudi.com.ph/makati-condo-for-sale-at-proscenium-at-rockwell-br-165881451642.html,Makati,224,,149
457,Rockwell Condo for Sale in Proscenium Residences Makati City with 3 Bedroom,"Rockwell, Makati",Commercial,Retail,169,224,,3,3,120.9856334,14.56114147,Proscenium at Rockwell,28129535.6,https://www.lamudi.com.ph/rockwell-condo-for-sale-in-proscenium-residences-m-165881451437.html,Makati,224,,147
458,"Studio Unit for Sale in Lincoln Tower, Rockwell Center, Makati","Rockwell, Makati",House and Lot,Bungalow,9,32,,1,1,121.0206672,14.57963275,Lincoln Tower,4018505.086,https://www.lamudi.com.ph/studio-unit-for-sale-in-lincoln-tower-rockwell-cen-165881376521.html,Makati,32,,189
459,"3 Bedroom Unit for Sale in The Proscenium Residences, Rockwell Center, Makati","Rockwell, Makati",House and Lot,Bungalow,188,147,2,3,3,120.9509669,14.57457786,Proscenium at Rockwell,18460007.74,https://www.lamudi.com.ph/3-bedroom-unit-for-sale-in-the-proscenium-residenc-165880515626.html,Makati,147,,147
460,"3 Bedroom Condominium unit for sale in Kirov Tower, Rockwell, Makati","Rockwell, Makati",House and Lot,Two-storey,167,236,,3,3,121.0436939,14.55747981,Proscenium at Rockwell,29636475.01,https://www.lamudi.com.ph/3-bedroom-condominium-unit-for-sale-in-kirov-tower-16588519592.html,Makati,236,,158
461,"2 Bedroom Condo unit for Sale in The Lerato Tower 3, Bel-air Makati","Bel-Air, Makati",House and Lot,Bungalow,16,84,,2,2,120.9546861,14.62598254,The Lerato,10548575.85,https://www.lamudi.com.ph/2-bedroom-condo-unit-for-sale-in-the-lerato-tower-165885188892.html,Makati,84,,84
462,3 Bedroom Unit in Grand Hyatt Manila Residences for Sale,"Poblacion, Makati",Townhouse,End,114,300,,3,3,121.0340148,14.56880609,Grand Hyatt Manila Residences,37673485.18,https://www.lamudi.com.ph/3-bedroom-unit-in-grand-hyatt-manila-residences-fo-165879734086.html,Makati,300,,122
463,Proscenium at Rockwell Condo Unit for Sale in Makati City,"Rockwell, Makati",Condominium,Studio,162,194,,2,3,120.9537923,14.61490527,Proscenium Sakura Tower,24362187.09,https://www.lamudi.com.ph/proscenium-at-rockwell-condo-unit-for-sale-in-maka-16587287511.html,Makati,194,,194
464,"2 Bedroom Unit For Sale at Proscenium at Rockwell, Makati City","Rockwell, Makati",Condominium,Penthouse,74,194,2,2,3,121.0433504,14.60731648,Proscenium ,24362187.09,https://www.lamudi.com.ph/rockwell-condo-for-sale-in-makati-city-at-prosceni-165872874972.html,Makati,194,,194
465,Makati City Condo Unit for Sale in Proscenium at Rockwell 2 Bedroom 2BR,"Poblacion, Makati",Commercial,Office,101,194,,2,3,120.9696021,14.57180341,Proscenium at Rockwell,24362187.09,https://www.lamudi.com.ph/makati-city-condo-unit-for-sale-in-proscenium-at-r-165905899296.html,Makati,194,,194
466,"324 sqm Commercial Lot for Sale in Brgy. Santa Cruz, Makati City","Santa Cruz, Makati",Commercial,Retail,197,,,,,120.990546,14.59354442,,,https://www.lamudi.com.ph/324-sqm-commercial-lot-for-sale-in-brgy-santa-cruz-165874772372.html,Makati,,324,118
467,Studio Condominium unit @ Eton Tower Makati City for Sale,"Legazpi Village, Makati",Townhouse,Inner,149,26.5,,1,1,120.9916987,14.56158215,Eton Tower Makati,3327824.525,https://www.lamudi.com.ph/studio-condominium-unit-eton-tower-makati-city-for-165872897224.html,Makati,26.5,,185
468,Brio Tower Condominium Unit for Sale in Makati City,"Guadalupe Viejo, Makati",House and Lot,Bungalow,60,230,4,4,3,120.9731065,14.56891232,Brio Tower,28883005.31,https://www.lamudi.com.ph/brio-tower-penthouse-unit-condominium-unit-for-sal-165877159324.html,Makati,230,,200
469,"Brio Tower 4BR Condo for Sale in Makati City, Penthouse Unit","Guadalupe Viejo, Makati",Commercial,Retail,131,230,4,4,3,120.9599008,14.58922822,Brio Tower,28883005.31,https://www.lamudi.com.ph/brio-tower-4br-condo-for-sale-in-makati-city-penth-16587715476.html,Makati,230,,109
470,"Rush Sale 2 Bedroom Unit in Proscenium at Rockwell Center, Makati City","Rockwell, Makati",House and Lot,Two-storey,179,194,2,2,3,120.9805036,14.60775002,Proscenium Residences,24362187.09,https://www.lamudi.com.ph/2-bedroom-condominium-for-sale-in-proscenium-resid-165908171895.html,Makati,194,,194
471,Makati City Condo for Sale at Proscenium at Rockwell Center,"Rockwell, Makati",Condominium,Penthouse,160,194,2,2,2,121.0312648,14.62299897,Proscenium at Rockwell,24362187.09,https://www.lamudi.com.ph/proscenium-at-rockwell-nicely-furnished-2-bedroom-165905891659.html,Makati,194,,194
472,"Corner Commercial Office Building for Sale Makati City with Roof deck, Elevator","Palanan, Makati",Commercial,Retail,149,2296,,,,121.0006488,14.60350138,,288327739.9,https://www.lamudi.com.ph/corner-commercial-office-building-for-sale-makati-165881977855.html,Makati,2296,384,163
473,2 bedroom for sale in cattleya gardens near greenbelt makati city,"Poblacion, Makati",Commercial,Retail,70,120,,2,2,121.0008203,14.5936769,Cattleya Gardens ,15069394.07,https://www.lamudi.com.ph/2-bedroom-for-sale-in-cattleya-gardens-near-greenb-165847361967.html,Makati,120,,120
474,"Furnished Studio Unit for Sale at Greenbelt Excelsior in Legazpi Village, Makati","Legazpi Village, Makati",House and Lot,Two-storey,26,38,,1,1,120.9513124,14.60525785,Greenbelt Excelsior,4771974.79,https://www.lamudi.com.ph/furnished-studio-unit-for-sale-at-greenbelt-excels-165845798432.html,Makati,38,,168
475,Proscenium Residences Brand New 3 Bedroom Condo Unit for Sale Makati! Good Buy!,"Rockwell, Makati",Townhouse,End,197,224,2,3,3,121.0029156,14.56426076,Proscenium at Rockwell,28129535.6,https://www.lamudi.com.ph/proscenium-residences-brand-new-3-bedroom-condo-un-165839358071.html,Makati,224,,109
476,Makati Condominium for Sale in Proscenium at Rockwell 3 Bedroom Nr. Greenbelt,"Rockwell, Makati",Commercial,Office,44,224,2,3,3,120.9555067,14.6165351,Proscenium at Rockwell,28129535.6,https://www.lamudi.com.ph/makati-condominium-for-sale-in-proscenium-at-rockw-165839357757.html,Makati,224,,153
477,"Proscenium at Rockwell 3 Bedroom Condo for Sale Makati City Nr. BGC, Greenbelt","Rockwell, Makati",Commercial,Office,143,224,2,3,3,120.9595222,14.59055981,Proscenium at Rockwell,28129535.6,https://www.lamudi.com.ph/proscenium-at-rockwell-3-bedroom-condo-for-sale-ma-165839357590.html,Makati,224,,155
478,Beautiful 2 Bedroom @ Brio Tower For Sale,"Guadalupe Viejo, Makati",Condominium,Penthouse,29,58,,2,1,121.0174684,14.56753485,Brio Tower,7283540.469,https://www.lamudi.com.ph/beautiful-2-bedroom-brio-tower-for-sale-165845892195.html,Makati,58,,154
479,"2 Bedroom Condo for Sale in Chino Roces Avenue, Makati City by DMCI Homes","Chino Roces, Makati",House and Lot,Two-storey,145,91,,2,2,120.9768582,14.60702338,Fortis Residences,11427623.84,https://www.lamudi.com.ph/2-bedroom-condo-for-sale-in-chino-roces-avenue-makati-city-by-dmci-homes.html,Makati,91,,91
480,"3 Bedroom Condo for Sale in Chino Roces Avenue, Makati City by DMCI Homes","Chino Roces, Makati",Townhouse,Inner,155,152.5,,3,3,121.0178296,14.59377014,Fortis Residences,19150688.3,https://www.lamudi.com.ph/3-bedroom-condo-for-sale-in-chino-roces-avenue-makati-city-by-dmci-homes.html,Makati,152.5,,152.5
481,Brand New 2 Bedroom w/ Parking @ Brio Tower For Sale,"Guadalupe Viejo, Makati",House and Lot,Bungalow,101,57,1,2,1,121.0534611,14.60955569,Brio Tower,7157962.185,https://www.lamudi.com.ph/brand-new-2-bedroom-w-parking-brio-tower-for-sale-165830702587.html,Makati,57,,101
482,2Bedroom Unit For Sale in Rockwell East Tower- Mak,"Rockwell, Makati",Townhouse,End,100,80,,2,2,120.9562289,14.62690886,,10046262.72,https://www.lamudi.com.ph/2bedroom-unit-for-sale-in-rockwell-east-tower-mak.html,Makati,80,,80
483,For sale Prime Commercial property in Makati City near city hall,"Poblacion, Makati",House and Lot,Two-storey,144,,,,,120.9938755,14.6069259,,,https://www.lamudi.com.ph/for-sale-prime-commercial-property-in-makati-city-near-city-hall.html,Makati,,319,138
484,"3BR Penthouse unit for Sale at The Nobel Plaza in Salcedo Vill, Makati City","Bel-Air, Makati",Townhouse,Inner,110,155.15,2,3,3,121.0473293,14.57387564,The Nobel Plaza,19483470.75,https://www.lamudi.com.ph/3br-penthouse-unit-for-sale-at-the-nobel-plaza-in-salcedo-vill-makati-city.html,Makati,155.15,,155.15
485,"Mergent Residences | 2 Bedroom Condo Unit in Poblacion, Makati City Preselling","Poblacion, Makati",House and Lot,Bungalow,177,106,,2,3,120.950394,14.56047425,Mergent Residences,13311298.1,https://www.lamudi.com.ph/mergent-residences-2-bedroom-condo-unit-in-poblaci-165953761387.html,Makati,106,,106
486,"Prime Corner Commercial Office Building for Sale Makati Nr. SLEX, Skyway,Buendia","Palanan, Makati",House and Lot,Two-storey,119,2296,,,,120.9879478,14.60261418,,288327739.9,https://www.lamudi.com.ph/prime-corner-commercial-office-building-for-sale-makati-nr-slex-skyway-buendia.html,Makati,2296,384,199
487,2-Bedroom Condo Unit For Sale in The Rise Makati by Shangri-La,"San Antonio, Makati",Commercial,Retail,40,74,1,2,2,121.0021098,14.57636091,The Rise,9292793.012,https://www.lamudi.com.ph/2-bedroom-condo-unit-for-sale-in-the-rise-makati-by-shangri-la.html,Makati,74,,123
